portfolio,execution,period_type,period,net_return
fixed_50_50,primary_250ms_2bp,weekly,2024-05-18/2024-05-24,0.0
fixed_50_50,primary_250ms_2bp,weekly,2024-05-25/2024-05-31,0.0
fixed_50_50,primary_250ms_2bp,weekly,2024-06-01/2024-06-07,0.0
fixed_50_50,primary_250ms_2bp,weekly,2024-06-08/2024-06-14,0.0
fixed_50_50,primary_250ms_2bp,weekly,2024-06-15/2024-06-21,0.0
fixed_50_50,primary_250ms_2bp,weekly,2024-06-22/2024-06-28,0.0
fixed_50_50,primary_250ms_2bp,weekly,2024-06-29/2024-07-05,0.0
fixed_50_50,primary_250ms_2bp,weekly,2024-07-06/2024-07-12,0.0
fixed_50_50,primary_250ms_2bp,weekly,2024-07-13/2024-07-19,0.0
fixed_50_50,primary_250ms_2bp,weekly,2024-07-20/2024-07-26,0.0132443158769191
fixed_50_50,primary_250ms_2bp,weekly,2024-07-27/2024-08-02,0.00689681962921055
fixed_50_50,primary_250ms_2bp,weekly,2024-08-03/2024-08-09,-0.02771767232851025
fixed_50_50,primary_250ms_2bp,weekly,2024-08-10/2024-08-16,0.0
fixed_50_50,primary_250ms_2bp,weekly,2024-08-17/2024-08-23,0.0135245627761019
fixed_50_50,primary_250ms_2bp,weekly,2024-08-24/2024-08-30,0.0
fixed_50_50,primary_250ms_2bp,weekly,2024-08-31/2024-09-06,0.0259967954199275
fixed_50_50,primary_250ms_2bp,weekly,2024-09-07/2024-09-13,0.0
fixed_50_50,primary_250ms_2bp,weekly,2024-09-14/2024-09-20,0.00342502162071495
fixed_50_50,primary_250ms_2bp,weekly,2024-09-21/2024-09-27,0.0131011700885628
fixed_50_50,primary_250ms_2bp,weekly,2024-09-28/2024-10-04,0.0
fixed_50_50,primary_250ms_2bp,weekly,2024-10-05/2024-10-11,0.0
fixed_50_50,primary_250ms_2bp,weekly,2024-10-12/2024-10-18,0.0
fixed_50_50,primary_250ms_2bp,weekly,2024-10-19/2024-10-25,0.0
fixed_50_50,primary_250ms_2bp,weekly,2024-10-26/2024-11-01,0.0
fixed_50_50,primary_250ms_2bp,weekly,2024-11-02/2024-11-08,0.0
fixed_50_50,primary_250ms_2bp,weekly,2024-11-09/2024-11-15,0.0
fixed_50_50,primary_250ms_2bp,weekly,2024-11-16/2024-11-22,0.0
fixed_50_50,primary_250ms_2bp,weekly,2024-11-23/2024-11-29,0.0
fixed_50_50,primary_250ms_2bp,weekly,2024-11-30/2024-12-06,0.0
fixed_50_50,primary_250ms_2bp,weekly,2024-12-07/2024-12-13,0.0
fixed_50_50,primary_250ms_2bp,weekly,2024-12-14/2024-12-20,0.0
fixed_50_50,primary_250ms_2bp,weekly,2024-12-21/2024-12-27,0.0
fixed_50_50,primary_250ms_2bp,weekly,2024-12-28/2025-01-03,0.0
fixed_50_50,primary_250ms_2bp,weekly,2025-01-04/2025-01-10,0.0
fixed_50_50,primary_250ms_2bp,weekly,2025-01-11/2025-01-17,0.0
fixed_50_50,primary_250ms_2bp,weekly,2025-01-18/2025-01-24,0.0
fixed_50_50,primary_250ms_2bp,weekly,2025-01-25/2025-01-31,0.0
fixed_50_50,primary_250ms_2bp,weekly,2025-02-01/2025-02-07,0.0
fixed_50_50,primary_250ms_2bp,weekly,2025-02-08/2025-02-14,0.0
fixed_50_50,primary_250ms_2bp,weekly,2025-02-15/2025-02-21,0.0
fixed_50_50,primary_250ms_2bp,weekly,2025-02-22/2025-02-28,0.0
fixed_50_50,primary_250ms_2bp,weekly,2025-03-01/2025-03-07,0.0036904341376943002
fixed_50_50,primary_250ms_2bp,weekly,2025-03-08/2025-03-14,-0.0100662890546538
fixed_50_50,primary_250ms_2bp,weekly,2025-03-15/2025-03-21,-0.0048001769434959
fixed_50_50,primary_250ms_2bp,weekly,2025-03-22/2025-03-28,0.0
fixed_50_50,primary_250ms_2bp,weekly,2025-03-29/2025-04-04,-0.024186826382608953
fixed_50_50,primary_250ms_2bp,weekly,2025-04-05/2025-04-11,0.24658108485277103
fixed_50_50,primary_250ms_2bp,weekly,2025-04-12/2025-04-18,-0.00019996000799835
fixed_50_50,primary_250ms_2bp,weekly,2025-04-19/2025-04-25,-0.00224353493787215
fixed_50_50,primary_250ms_2bp,weekly,2025-04-26/2025-05-02,0.0
fixed_50_50,primary_250ms_2bp,weekly,2025-05-03/2025-05-09,0.0
fixed_50_50,primary_250ms_2bp,weekly,2025-05-10/2025-05-16,0.0
fixed_50_50,primary_250ms_2bp,weekly,2025-05-17/2025-05-23,0.0
fixed_50_50,primary_250ms_2bp,weekly,2025-05-24/2025-05-30,0.0
fixed_50_50,primary_250ms_2bp,weekly,2025-05-31/2025-06-06,0.0
fixed_50_50,primary_250ms_2bp,weekly,2025-06-07/2025-06-13,0.0
fixed_50_50,primary_250ms_2bp,weekly,2025-06-14/2025-06-20,0.0
fixed_50_50,primary_250ms_2bp,weekly,2025-06-21/2025-06-27,0.0
fixed_50_50,primary_250ms_2bp,weekly,2025-06-28/2025-07-04,0.0
fixed_50_50,primary_250ms_2bp,weekly,2025-07-05/2025-07-11,0.0
fixed_50_50,primary_250ms_2bp,weekly,2025-07-12/2025-07-18,0.0
fixed_50_50,primary_250ms_2bp,weekly,2025-07-19/2025-07-25,0.0
fixed_50_50,primary_250ms_2bp,weekly,2025-07-26/2025-08-01,0.0
fixed_50_50,primary_250ms_2bp,weekly,2025-08-02/2025-08-08,0.0
fixed_50_50,primary_250ms_2bp,weekly,2025-08-09/2025-08-15,0.0
fixed_50_50,primary_250ms_2bp,weekly,2025-08-16/2025-08-22,-0.01386355822360705
fixed_50_50,primary_250ms_2bp,weekly,2025-08-23/2025-08-29,0.0
fixed_50_50,primary_250ms_2bp,weekly,2025-08-30/2025-09-05,0.0
fixed_50_50,primary_250ms_2bp,weekly,2025-09-06/2025-09-12,0.0
fixed_50_50,primary_250ms_2bp,weekly,2025-09-13/2025-09-19,0.0
fixed_50_50,primary_250ms_2bp,weekly,2025-09-20/2025-09-26,0.0
fixed_50_50,primary_250ms_2bp,weekly,2025-09-27/2025-10-03,0.0
fixed_50_50,primary_250ms_2bp,weekly,2025-10-04/2025-10-10,0.0
