variant_id,timeframe,lookback_bars,z_threshold,mode,protective_stop,cost_bps_per_side,net_simple_return,gross_simple_return,maximum_drawdown,trades,active_sessions,positive_months,negative_months,monthly_average,monthly_median,recent12_average_month,forced_exit,broker_margin,direct_short,holdout_rows_loaded
15m__r6__z0.5__long__stop0.005,15m,6,0.5,long,0.005,-1.0,3.4062220274010224,-1.3387117182920276,0.37754715390492205,101069,1255,44,16,0.056770367123350374,0.054928504354153716,0.0660249877986024,next_bar_close,False,False,0
15m__r6__z0__long_short__stop0.02,15m,6,0.0,long_short,0.02,-1.0,3.352279866642574,-1.3925686782960858,0.2805761399767644,516806,1255,45,15,0.055871331110709556,0.07274856941725824,0.08333108768120548,next_bar_close,False,True,0
15m__r6__z1__long_short__stop0.005,15m,6,1.0,long_short,0.005,-1.0,3.3317748075758646,-1.4130756539641318,0.4860824676407863,109738,1255,41,19,0.05552958012626441,0.057982288108410225,0.06287304119317198,next_bar_close,False,True,0
15m__r3__z1__long__stop0.02,15m,3,1.0,long,0.02,-1.0,3.2874770489386393,-2.1983229510613604,0.5727117377160393,64113,1255,41,19,0.05479128414897731,0.08890122581484655,0.07962916944718769,next_bar_close,False,False,0
15m__r6__z0__long__stop0.02,15m,6,0.0,long,0.02,-1.0,3.2260425642690076,-1.51887680116622,0.2925545901469158,255305,1255,45,15,0.053767376071150126,0.06564449412755385,0.0798880701279643,next_bar_close,False,False,0
15m__r6__z0.5__long__stop0.01,15m,6,0.5,long,0.01,-1.0,3.2227726506390884,-1.5221610950539612,0.3845322394285541,101069,1255,43,17,0.05371287751065148,0.056940115251647196,0.07336671159487763,next_bar_close,False,False,0
15m__r6__z0.5__long_short__stop0.01,15m,6,0.5,long_short,0.01,-1.0,3.2173960394629635,-1.5274432561523146,0.41382001895101006,203711,1255,44,16,0.053623267324382724,0.0698016509432341,0.07563170851952519,next_bar_close,False,True,0
15m__r6__z1__long__stop0.005,15m,6,1.0,long,0.005,-1.0,3.11657550440999,-1.6183670056510941,0.48606254079466327,55105,1255,39,21,0.05194292507349984,0.05012805675349134,0.06189443149875353,next_bar_close,False,False,0
15m__r6__z0.5__long_short__stop0.02,15m,6,0.5,long_short,0.02,-1.0,3.0223735484371663,-1.7224657471781113,0.4011711786824722,203711,1255,43,17,0.05037289247395278,0.06966450443086908,0.08310741618858453,next_bar_close,False,True,0
15m__r1__z0.5__long__stop0.02,15m,1,0.5,long,0.02,-1.0,2.9927959666607546,-3.0070341048062854,0.8528227404698414,129504,1255,43,17,0.049879932777679235,0.07216296018210458,0.13198138642976806,next_bar_close,False,False,0
15m__r6__z0.5__long__stop0.02,15m,6,0.5,long,0.02,-1.0,2.9921481250597184,-1.7527856206333312,0.41727854210607146,101069,1255,42,18,0.04986913541766198,0.06325944844082503,0.0794960410610475,next_bar_close,False,False,0
15m__r1__z0.5__long_short__stop0.02,15m,1,0.5,long_short,0.02,-1.0,2.9906428379901957,-3.0091571603348393,0.8379867207097567,259680,1255,43,17,0.0498440472998366,0.0754743218418718,0.12693435644753762,next_bar_close,False,True,0
15m__r6__z1__long_short__stop0.01,15m,6,1.0,long_short,0.01,-1.0,2.972297076457779,-1.7725533850822168,0.556995706244148,109738,1255,44,16,0.049538284607629664,0.0634233876414523,0.0707576801465759,next_bar_close,False,True,0
15m__r6__z1__long__stop0.01,15m,6,1.0,long,0.01,-1.0,2.8478014467025763,-1.8871410633585082,0.5415807399543574,55105,1255,41,19,0.04746335744504294,0.052239497246348736,0.07226288144966835,next_bar_close,False,False,0
15m__r6__z1__long_short__stop0.02,15m,6,1.0,long_short,0.02,-1.0,2.7420300881645256,-2.00282037337547,0.5311110875841586,109738,1255,42,18,0.045700501469408766,0.06714131602446499,0.07971437151330048,next_bar_close,False,True,0
15m__r1__z1__long__stop0.02,15m,1,1.0,long,0.02,-1.0,2.717178691226952,-3.271408416797399,1.01508757839111,69604,1255,40,20,0.04528631152044919,0.0624151530640676,0.1495604200712401,next_bar_close,False,False,0
15m__r1__z1__long_short__stop0.02,15m,1,1.0,long_short,0.02,-1.0,2.606164959415112,-3.393563131019603,1.0132696119599243,138862,1255,43,17,0.04343608265691853,0.06642020083902342,0.1368799087631583,next_bar_close,False,True,0
15m__r6__z1__long__stop0.02,15m,6,1.0,long,0.02,-1.0,2.593590285256689,-2.141352224804395,0.5430426549585103,55105,1255,39,21,0.04322650475427814,0.0608023632285513,0.08042661899670249,next_bar_close,False,False,0
5m__r1__z1__long_short__stop0.005,5m,1,1.0,long_short,0.005,0.0,3.576743830929621,3.576743830929621,0.26424917705723444,437542,1255,40,20,0.05961239718216035,0.04358670960933371,-0.1211014746010843,next_bar_close,False,True,0
5m__r1__z1__long__stop0.005,5m,1,1.0,long,0.005,0.0,3.42916873449151,3.42916873449151,0.30292924117298026,219165,1255,37,23,0.057152812241525165,0.05314738426896321,-0.12652447474588094,next_bar_close,False,False,0
5m__r1__z1__long_short__stop0.01,5m,1,1.0,long_short,0.01,0.0,3.342869686779573,3.3428696867795726,0.35566881755547,437542,1255,34,26,0.05571449477965954,0.030191365874911637,-0.07598389905934316,next_bar_close,False,True,0
5m__r1__z1__long__stop0.01,5m,1,1.0,long,0.01,0.0,3.281250010743476,3.2812500107434754,0.3660239063954459,219165,1255,33,27,0.05468750017905792,0.044767902302872906,-0.08443321620123984,next_bar_close,False,False,0
