candidate,extra_adverse_bps_per_side,symbol,net_pnl
qqq_single_ma150_weekly_top1,1.0,STX,0.0
qqq_single_ma150_weekly_top1,1.0,SWKS,0.0
qqq_single_ma150_weekly_top1,1.0,SOLS,0.0
qqq_single_ma150_weekly_top1,1.0,VRSK,0.0
qqq_single_ma150_weekly_top1,1.0,ULTA,0.0
qqq_single_ma150_weekly_top1,1.0,AVGO,-0.0046503532129467335
qqq_single_ma150_weekly_top1,1.0,ADP,-0.008043820877384889
qqq_single_ma150_weekly_top1,1.0,BIIB,-0.008838608843379081
qqq_single_ma150_weekly_top1,1.0,PANW,-0.012578274918417206
qqq_single_ma150_weekly_top1,1.0,AMAT,-0.017272996041746896
qqq_single_ma150_weekly_top1,1.0,ZS,-0.03672563199395764
qqq_single_ma150_weekly_top1,1.0,DDOG,-0.03946370049825658
qqq_single_ma150_weekly_top1,1.0,REGN,-0.03977879407949672
qqq_single_ma150_weekly_top1,1.0,AMD,-0.05040103434394609
qqq_single_ma150_weekly_top1,1.0,TMUS,-0.0759625802922143
qqq_single_ma150_weekly_top1,1.0,QCOM,-0.09335675516540401
qqq_single_ma150_weekly_top1,1.0,APP,-0.11748991807454016
qqq_single_ma150_weekly_top1,1.0,MRNA,-0.15672602521899975
qqq_single_ma150_weekly_top1,1.0,ENPH,-0.18734573175824357
qqq_single_ma150_weekly_top1,2.0,NVDA,1.1443262920290143
qqq_single_ma150_weekly_top1,2.0,TSLA,1.0538549006960045
qqq_single_ma150_weekly_top1,2.0,PLTR,0.8196234958660152
qqq_single_ma150_weekly_top1,2.0,WDC,0.5526569054363585
qqq_single_ma150_weekly_top1,2.0,MU,0.3857030895591589
qqq_single_ma150_weekly_top1,2.0,PDD,0.30562337755604035
qqq_single_ma150_weekly_top1,2.0,NFLX,0.13903456462680655
qqq_single_ma150_weekly_top1,2.0,ZM,0.13206359363231174
qqq_single_ma150_weekly_top1,2.0,LCID,0.1261858482541444
qqq_single_ma150_weekly_top1,2.0,META,0.09288509553854969
qqq_single_ma150_weekly_top1,2.0,AMGN,0.0753067473028162
qqq_single_ma150_weekly_top1,2.0,SNDK,0.0649050895009646
qqq_single_ma150_weekly_top1,2.0,MELI,0.06282298403019466
qqq_single_ma150_weekly_top1,2.0,BIDU,0.05351930127133922
qqq_single_ma150_weekly_top1,2.0,CEG,0.019400382797395047
qqq_single_ma150_weekly_top1,2.0,CRWD,0.01692441840100296
qqq_single_ma150_weekly_top1,2.0,VRTX,0.008498812635953226
qqq_single_ma150_weekly_top1,2.0,WBD,0.007035547645241901
qqq_single_ma150_weekly_top1,2.0,ARM,0.0022252100062798014
qqq_single_ma150_weekly_top1,2.0,ADI,0.0
qqq_single_ma150_weekly_top1,2.0,ALNY,0.0
qqq_single_ma150_weekly_top1,2.0,CERN,0.0
qqq_single_ma150_weekly_top1,2.0,ADBE,0.0
qqq_single_ma150_weekly_top1,2.0,ABNB,0.0
qqq_single_ma150_weekly_top1,2.0,AAPL,0.0
qqq_single_ma150_weekly_top1,2.0,ALXN,0.0
qqq_single_ma150_weekly_top1,2.0,ANSS,0.0
qqq_single_ma150_weekly_top1,2.0,ADSK,0.0
qqq_single_ma150_weekly_top1,2.0,AEP,0.0
qqq_single_ma150_weekly_top1,2.0,ATVI,0.0
qqq_single_ma150_weekly_top1,2.0,ASML,0.0
qqq_single_ma150_weekly_top1,2.0,AMZN,0.0
qqq_single_ma150_weekly_top1,2.0,BMRN,0.0
qqq_single_ma150_weekly_top1,2.0,AXON,0.0
qqq_single_ma150_weekly_top1,2.0,AZN,0.0
qqq_single_ma150_weekly_top1,2.0,ALGN,0.0
qqq_single_ma150_weekly_top1,2.0,AAL,0.0
qqq_single_ma150_weekly_top1,2.0,WDAY,0.0
qqq_single_ma150_weekly_top1,2.0,UAL,0.0
qqq_single_ma150_weekly_top1,2.0,TTWO,0.0
qqq_single_ma150_weekly_top1,2.0,MSTR,0.0
qqq_single_ma150_weekly_top1,2.0,MPWR,0.0
