campaign_id,variant_id,extra_slippage_bps_per_side,net_simple_return,maximum_drawdown,position_rows,quote_complete_position_rows,missing_position_rows,position_coverage_rate,symbols,active_sessions,green_sessions,red_sessions,positive_months,negative_months,monthly_average,monthly_median,recent12_average_month,top5_symbol_positive_share,leave_best_symbol_out_return,mean_entry_spread_bps,mean_exit_spread_bps,median_entry_delay_ms,median_exit_role_delay_ms,max_role_window_seconds,broker_margin,direct_short,holdout_rows_loaded
CAM-0612,etf__sma10_50_200__long,1.0,-0.07831346454248367,0.21280562332705555,3555,3555,0,1.0,25,249,135,114,7,5,-0.0065261220452069715,0.006547054806948642,-0.0065261220452069715,0.9346394289836106,-0.1350897905235322,6.331827420047316,6.298660231415423,2.836467,2.8129359999999997,5,False,False,0
CAM-0612,etf__sma10_50_200__long,2.0,-0.12811346454248362,0.23651609069338023,3555,3555,0,1.0,25,249,130,119,7,5,-0.010676122045206973,0.002447054806948636,-0.010676122045206973,0.9696096730269956,-0.18344401969563284,6.331827420047316,6.298660231415423,2.836467,2.8129359999999997,5,False,False,0
CAM-0612,etf__sma10_50_200__long,5.0,-0.27751346454248377,0.3247567971924641,3555,3555,0,1.0,25,249,120,129,3,9,-0.02312612204520698,-0.009852945193051367,-0.02312612204520698,0.9999999999999999,-0.32850670721193503,6.331827420047316,6.298660231415423,2.836467,2.8129359999999997,5,False,False,0
CAM-0614,qqq__donchian10__long,0.0,-2.3691931646401194,2.3721984833696914,11628,11628,0,1.0,111,250,36,214,0,12,-0.19743276372000995,-0.19806094506166627,-0.19743276372000995,0.532543758316187,-2.3812159509470634,102.33874968318469,102.33099306184307,29.8185775,29.7423755,5,False,False,0
CAM-0614,qqq__donchian10__long,1.0,-2.4191931646401192,2.4225933743497152,11628,11628,0,1.0,111,250,35,215,0,12,-0.2015994303866766,-0.2021609450616663,-0.2015994303866766,0.5424697405784517,-2.430827461076137,102.33874968318469,102.33099306184307,29.8185775,29.7423755,5,False,False,0
CAM-0614,qqq__donchian10__long,2.0,-2.469193164640119,2.4730084756338218,11628,11628,0,1.0,111,250,34,216,0,12,-0.20576609705334326,-0.20626094506166628,-0.20576609705334326,0.5537552428366189,-2.480438971205211,102.33874968318469,102.33099306184307,29.8185775,29.7423755,5,False,False,0
CAM-0614,qqq__donchian10__long,5.0,-2.6191931646401194,2.624375162960562,11628,11628,0,1.0,111,250,32,218,0,12,-0.2182660970533433,-0.2185609450616663,-0.2182660970533433,0.6033872387297449,-2.629273501592433,102.33874968318469,102.33099306184307,29.8185775,29.7423755,5,False,False,0
CAM-0615,qqq__fullcov_shrink50__mom60__long,0.0,-2.2200272533472623,2.233629362021436,11937,11925,12,0.9989947222920331,106,250,29,221,0,12,-0.18500227111227185,-0.15402320696472835,-0.18500227111227185,0.6595572024318397,-2.2338789379455775,94.62500920826498,94.68074561516976,28.810483,28.743076,30,False,False,0
CAM-0615,qqq__fullcov_shrink50__mom60__long,1.0,-2.2700225271195427,2.284441786529197,11937,11925,12,0.9989947222920331,106,250,28,222,0,12,-0.18916854392662855,-0.15822320696472836,-0.18916854392662855,0.6716308233346516,-2.2830233311394306,94.62500920826498,94.68074561516976,28.810483,28.743076,30,False,False,0
CAM-0615,qqq__fullcov_shrink50__mom60__long,2.0,-2.320017800891823,2.335274770925909,11937,11925,12,0.9989947222920331,106,250,26,224,0,12,-0.19333481674098527,-0.16242320696472834,-0.19333481674098527,0.6820754519587691,-2.3321677243332837,94.62500920826498,94.68074561516976,28.810483,28.743076,30,False,False,0
