variant,block,net_pnl,signal_days
tail02_reclaim25_participation_q80_final_c20,block_1,-0.04518435232454887,6
tail02_reclaim25_participation_q80_final_c20,block_2,0.10218681248526262,12
tail02_reclaim25_participation_q80_final_c20,block_3,-0.09591168548990045,14
tail02_reclaim25_anomaly_ge1_1200_c5,block_1,-0.042660405692639736,11
tail02_reclaim25_anomaly_ge1_1200_c5,block_2,0.040767442304700585,13
tail02_reclaim25_anomaly_ge1_1200_c5,block_3,-0.04218582072421012,25
tail02_reclaim25_anomaly_ge1_1200_c10,block_1,-0.053660405692639745,11
tail02_reclaim25_anomaly_ge1_1200_c10,block_2,0.02776744230470058,13
tail02_reclaim25_anomaly_ge1_1200_c10,block_3,-0.06618582072421014,25
tail02_reclaim25_anomaly_ge1_1200_c20,block_1,-0.07566040569263975,11
tail02_reclaim25_anomaly_ge1_1200_c20,block_2,0.0017674423047005922,13
tail02_reclaim25_anomaly_ge1_1200_c20,block_3,-0.11418582072421014,25
tail02_reclaim25_anomaly_ge1_final_c5,block_1,-0.11989300944267545,11
tail02_reclaim25_anomaly_ge1_final_c5,block_2,0.10519912733327841,13
tail02_reclaim25_anomaly_ge1_final_c5,block_3,0.003323517329998582,25
tail02_reclaim25_anomaly_ge1_final_c10,block_1,-0.13089300944267546,11
tail02_reclaim25_anomaly_ge1_final_c10,block_2,0.0921991273332784,13
tail02_reclaim25_anomaly_ge1_final_c10,block_3,-0.02167648267000144,25
tail02_reclaim25_anomaly_ge1_final_c20,block_1,-0.15289300944267548,11
tail02_reclaim25_anomaly_ge1_final_c20,block_2,0.06619912733327839,13
tail02_reclaim25_anomaly_ge1_final_c20,block_3,-0.07167648267000146,25
tail02_reclaim25_anomaly_ge1_5_1200_c5,block_1,-0.01146482075340316,8
tail02_reclaim25_anomaly_ge1_5_1200_c5,block_2,0.05861769019454682,10
tail02_reclaim25_anomaly_ge1_5_1200_c5,block_3,-0.09477199827779209,18
tail02_reclaim25_anomaly_ge1_5_1200_c10,block_1,-0.019464820753403167,8
tail02_reclaim25_anomaly_ge1_5_1200_c10,block_2,0.048617690194546814,10
tail02_reclaim25_anomaly_ge1_5_1200_c10,block_3,-0.1117719982777921,18
tail02_reclaim25_anomaly_ge1_5_1200_c20,block_1,-0.03546482075340316,8
tail02_reclaim25_anomaly_ge1_5_1200_c20,block_2,0.028617690194546828,10
tail02_reclaim25_anomaly_ge1_5_1200_c20,block_3,-0.1457719982777921,18
tail02_reclaim25_anomaly_ge1_5_final_c5,block_1,-0.08794829909095003,8
tail02_reclaim25_anomaly_ge1_5_final_c5,block_2,0.10799951696809318,10
tail02_reclaim25_anomaly_ge1_5_final_c5,block_3,-0.0744282912251038,18
tail02_reclaim25_anomaly_ge1_5_final_c10,block_1,-0.09594829909095004,8
tail02_reclaim25_anomaly_ge1_5_final_c10,block_2,0.09799951696809317,10
tail02_reclaim25_anomaly_ge1_5_final_c10,block_3,-0.09242829122510382,18
tail02_reclaim25_anomaly_ge1_5_final_c20,block_1,-0.11194829909095005,8
tail02_reclaim25_anomaly_ge1_5_final_c20,block_2,0.07799951696809315,10
tail02_reclaim25_anomaly_ge1_5_final_c20,block_3,-0.12842829122510382,18
tail02_reclaim25_anomaly_ge2_1200_c5,block_1,-0.008369833746067812,6
tail02_reclaim25_anomaly_ge2_1200_c5,block_2,0.03267526136263521,6
tail02_reclaim25_anomaly_ge2_1200_c5,block_3,-0.09639694993413989,8
