variant,K,M,breadth,execution,state,full_gross_simple_return,mean_decision_bps,break_even_cost_bps_per_side,standard_max_drawdown,max_recovery_days,recovery_unresolved,decision_count,trading_days,average_month_18m,negative_months_18m,average_month_15m,negative_months_15m,average_month_12m,negative_months_12m
K1_M6_decile_source_cc_high_noise,1,6,decile,source_cc,high_noise,-0.013664986353229477,-0.19032014419539686,-0.09516007209769843,0.09381688530010605,181,True,718,245,-0.0007591659085127515,7,-0.0013060522980005702,7,-0.0054999380288933445,7
K1_M2_decile_source_cc_high_noise,1,2,decile,source_cc,high_noise,-0.03283953545687948,-0.2809198927021339,-0.14045994635106696,0.0934155846965563,353,True,1169,284,-0.0018244186364933023,10,-0.001354000528952536,9,-0.006713084823924186,9
K4_M1_quintile_source_cc_all,4,1,quintile,source_cc,all,-0.03604427575089432,-0.10912587269420024,-0.05456293634710012,0.07478226162831837,519,True,3303,367,-0.002002459763938575,11,-0.0013949267821605745,10,-0.002215878658197925,9
K2_M4_decile_source_cc_high_market_vol,2,4,decile,source_cc,high_market_vol,-0.021298221256677463,-0.23770336223970365,-0.11885168111985182,0.1038085422332948,302,True,896,112,-0.0011832345142598591,6,-0.001419881417111831,6,-0.003375056079205137,5
K3_M4_quintile_actionable_oc_high_market_vol,3,4,quintile,actionable_oc,high_market_vol,-0.022953850394319898,-0.2927787040091823,-0.14638935200459116,0.05416314339766476,382,True,784,112,-0.0012752139107955504,6,-0.0015302566929546605,6,-0.001105456688732023,4
K3_M6_quintile_source_cc_high_noise,3,6,quintile,source_cc,high_noise,-0.018417608510579452,-0.3535049618153445,-0.17675248090767226,0.07493893922769145,456,True,521,222,-0.0010232004728099701,10,-0.0016033549259860216,10,-0.000942050134302813,8
K1_M6_decile_actionable_oc_high_noise,1,6,decile,actionable_oc,high_noise,-0.01761480383655501,-0.24533152975703387,-0.12266576487851694,0.09422642893306651,181,True,718,245,-0.000978600213141947,7,-0.0016142138698942135,7,-0.005608962031030053,7
K4_M4_quintile_source_cc_high_noise,4,4,quintile,source_cc,high_noise,-0.014205370108409145,-0.2280155715635498,-0.1140077857817749,0.07992713010255184,456,True,623,236,-0.0007891872282449525,9,-0.0016314580249371829,9,0.00033983720690012865,7
K1_M4_quintile_actionable_oc_high_noise,1,4,quintile,actionable_oc,high_noise,-0.021521110093076383,-0.2309131984235664,-0.1154565992117832,0.07061768658721713,240,True,932,265,-0.0011956172273931316,8,-0.0016387769705248924,8,-0.003491592595184934,7
K2_M6_quintile_source_cc_high_market_vol,2,6,quintile,source_cc,high_market_vol,-0.02464849242792357,-0.3667930420821962,-0.1833965210410981,0.0514089892259086,294,True,672,112,-0.0013693606904401983,6,-0.0016432328285282377,6,-0.0011494574356945165,4
K1_M2_decile_actionable_oc_high_noise,1,2,decile,actionable_oc,high_noise,-0.03764484360173933,-0.3220260359430225,-0.16101301797151124,0.09409338096249988,353,True,1169,284,-0.0020913802000966293,11,-0.0017148749401464732,10,-0.006816483399961997,10
K3_M6_quintile_actionable_oc_high_noise,3,6,quintile,actionable_oc,high_noise,-0.020848984004586728,-0.4001724377079989,-0.20008621885399944,0.07688505737153714,456,True,521,222,-0.0011582768891437068,10,-0.0017316380032301006,10,-0.0010128416054693843,8
K4_M6_quintile_actionable_oc_all,4,6,quintile,actionable_oc,all,-0.04169537376695083,-0.2840284316549783,-0.14201421582748916,0.17375367884684978,457,True,1468,367,-0.00231640965371949,10,-0.0017435591194547846,8,0.0019876786960585607,6
K3_M4_decile_source_cc_high_market_vol,3,4,decile,source_cc,high_market_vol,-0.02631383314534491,-0.33563562685388976,-0.16781781342694488,0.07784198318970284,188,True,784,112,-0.0014618796191858303,7,-0.0017542555430229958,7,-0.0016695576299165869,5
K4_M3_decile_source_cc_high_market_vol,4,3,decile,source_cc,high_market_vol,-0.026711517481598845,-0.3407081311428422,-0.1703540655714211,0.07464785928808948,427,True,784,112,-0.0014839731934221574,7,-0.0017807678321065889,7,0.0007814820383875055,5
K4_M2_quintile_source_cc_high_market_vol,4,2,quintile,source_cc,high_market_vol,-0.026890902374224333,-0.30012167828375375,-0.15006083914187687,0.04193886273808797,421,True,896,112,-0.0014939390207902405,5,-0.001792726824948289,5,-0.0018161880503273881,4
K4_M4_quintile_actionable_oc_high_noise,4,4,quintile,actionable_oc,high_noise,-0.017698096680417174,-0.28407859840155936,-0.14203929920077968,0.08137634911007811,456,True,623,236,-0.000983227593356509,8,-0.001802195664855301,8,0.00022217260176206243,6
K4_M2_quintile_source_cc_high_noise,4,2,quintile,source_cc,high_noise,-0.020681376586575397,-0.24048112309971387,-0.12024056154985693,0.060466218109537076,471,True,860,270,-0.0011489653659208553,9,-0.0018860511476579917,9,-0.0002444953541196546,7
