account_notional,participation,execution,period_type,period,net_return
2000,0.05,primary_250ms_2bp,weekly,2025-03-01/2025-03-07,0.003607314537092621
2000,0.05,primary_250ms_2bp,weekly,2025-03-08/2025-03-14,-0.009994617076584663
2000,0.05,primary_250ms_2bp,weekly,2025-03-15/2025-03-21,-0.00478760047990394
2000,0.05,primary_250ms_2bp,weekly,2025-03-22/2025-03-28,0.0
2000,0.05,primary_250ms_2bp,weekly,2025-03-29/2025-04-04,-0.015061137772445474
2000,0.05,primary_250ms_2bp,weekly,2025-04-05/2025-04-11,0.2754975514897026
2000,0.05,primary_250ms_2bp,weekly,2025-04-12/2025-04-18,-4.709058188361143e-05
2000,0.05,primary_250ms_2bp,weekly,2025-04-19/2025-04-25,-0.00222774045190953
2000,0.05,primary_250ms_2bp,weekly,2025-04-26/2025-05-02,0.0
2000,0.05,primary_250ms_2bp,weekly,2025-05-03/2025-05-09,0.0
2000,0.05,primary_250ms_2bp,weekly,2025-05-10/2025-05-16,0.0
2000,0.05,primary_250ms_2bp,weekly,2025-05-17/2025-05-23,0.0
2000,0.05,primary_250ms_2bp,weekly,2025-05-24/2025-05-30,0.0
2000,0.05,primary_250ms_2bp,weekly,2025-05-31/2025-06-06,0.0
2000,0.05,primary_250ms_2bp,weekly,2025-06-07/2025-06-13,0.0
2000,0.05,primary_250ms_2bp,weekly,2025-06-14/2025-06-20,0.0
2000,0.05,primary_250ms_2bp,weekly,2025-06-21/2025-06-27,0.0
2000,0.05,primary_250ms_2bp,weekly,2025-06-28/2025-07-04,0.0
2000,0.05,primary_250ms_2bp,weekly,2025-07-05/2025-07-11,0.0
2000,0.05,primary_250ms_2bp,weekly,2025-07-12/2025-07-18,0.0
2000,0.05,primary_250ms_2bp,weekly,2025-07-19/2025-07-25,0.0
2000,0.05,primary_250ms_2bp,weekly,2025-07-26/2025-08-01,0.0
2000,0.05,primary_250ms_2bp,weekly,2025-08-02/2025-08-08,0.0
2000,0.05,primary_250ms_2bp,weekly,2025-08-09/2025-08-15,0.0
2000,0.05,primary_250ms_2bp,weekly,2025-08-16/2025-08-22,-0.013778297340531867
2000,0.05,primary_250ms_2bp,weekly,2025-08-23/2025-08-29,0.0
2000,0.05,primary_250ms_2bp,weekly,2025-08-30/2025-09-05,0.0
2000,0.05,primary_250ms_2bp,weekly,2025-09-06/2025-09-12,0.0
2000,0.05,primary_250ms_2bp,weekly,2025-09-13/2025-09-19,0.0
2000,0.05,primary_250ms_2bp,weekly,2025-09-20/2025-09-26,0.0
2000,0.05,primary_250ms_2bp,weekly,2025-09-27/2025-10-03,0.0
2000,0.05,primary_250ms_2bp,weekly,2025-10-04/2025-10-10,0.0
2000,0.05,primary_250ms_2bp,weekly,2025-10-11/2025-10-17,0.0
2000,0.05,primary_250ms_2bp,weekly,2025-10-18/2025-10-24,0.0
2000,0.05,primary_250ms_2bp,weekly,2025-10-25/2025-10-31,0.007089758048390286
2000,0.05,primary_250ms_2bp,weekly,2025-11-01/2025-11-07,0.0
2000,0.05,primary_250ms_2bp,weekly,2025-11-08/2025-11-14,0.0
2000,0.05,primary_250ms_2bp,weekly,2025-11-15/2025-11-21,-0.01754694661067791
2000,0.05,primary_250ms_2bp,weekly,2025-11-22/2025-11-28,0.0
